agency,tier,host_surface,host_url,candidate_surface,A4,A5,A10,A11-declared,A12,G1-D,refused_identified_client,probes_on_host_surface,finding_ids
GSA,C,home:www.gsa.gov,https://www.gsa.gov,host:www.gsa.gov,pass,fail,pass,pass,pass,fail,0,11,A4=fnd_d613c9f01980851115d4531d A5=fnd_bd4b1a23875cb7911427353f A10=fnd_8d6b21ce89fa8302094ef346 A11-declared=fnd_b7f433892ef08973ff279535 A12=fnd_9ff3a9c4a7f6bf30bb41c380 G1-D=fnd_0e07686c360dc4f64e66cf75
NIST,C,home:www.nist.gov,https://www.nist.gov,host:www.nist.gov,pass,fail,pass,pass,pass,fail,0,11,A4=fnd_13d30bd5a4f8a525ff9d7ea9 A5=fnd_ad7543732c46ccf9d6383658 A10=fnd_5fcf8729ee03e1ee10b8de60 A11-declared=fnd_9c306f111b10be896636d533 A12=fnd_6ef843db410fcbbcddd10975 G1-D=fnd_8e1f06a4d16b0d5d57a4571b
data.gov,C,home:www.data.gov,https://www.data.gov,host:www.data.gov,pass,fail,pass,pass,pass,fail,0,12,A4=fnd_7c07afc4bd1d93cf5865679b A5=fnd_d7ddbcd50bce3357e2201a86 A10=fnd_d1fc370c3a7d4c365a57d50e A11-declared=fnd_710dea051158a7cebe35e305 A12=fnd_57a131bd53eb923814e8192a G1-D=fnd_a078e29c5bab4dbf0dae0ea4
