agency,tier,host_surface,host_url,candidate_surface,A4,A5,A10,A11-declared,A12,G1-D,refused_identified_client,probes_on_host_surface,finding_ids
GSA,C,home:www.gsa.gov,https://www.gsa.gov,host:www.gsa.gov,pass,fail,pass,pass,pass,fail,0,11,A4=fnd_fc3214800640a6577387baec A5=fnd_3737a8bf291b4ccd0b4b2847 A10=fnd_5717c7db72cd56e2e031de86 A11-declared=fnd_a739690b54f528937fad01e9 A12=fnd_b32a1b2c598d1e0fb61b030d G1-D=fnd_0d5528bf36d7a39f7b219445
NIST,C,home:www.nist.gov,https://www.nist.gov,host:www.nist.gov,pass,fail,pass,pass,pass,fail,0,11,A4=fnd_3998199fc79eaa3027fb0ac7 A5=fnd_e04f6b35699dccc2013a8d9c A10=fnd_58903b1b1e07c41e43f7f6b0 A11-declared=fnd_cd38d634517ce1ca4250ec6c A12=fnd_9cbad768816edbd289d625d2 G1-D=fnd_ad8ac1759d51cd28a9d774f5
data.gov,C,home:www.data.gov,https://www.data.gov,host:www.data.gov,pass,fail,pass,pass,pass,fail,0,12,A4=fnd_ef1e5f80fb1fd07f645d1aa3 A5=fnd_7fc5011065e54a2a72962088 A10=fnd_a368f966c9e35401a24e6179 A11-declared=fnd_9535ab76a6cc353b0498f32d A12=fnd_fd0503314ae295eb52891399 G1-D=fnd_de8e0411832b45c4c3704d88
