agency,tier,host_surface,host_url,candidate_surface,A4,A5,A10,A11-declared,A12,refused_identified_client,probes_on_host_surface,finding_ids
GSA,C,home:www.gsa.gov,https://www.gsa.gov,host:www.gsa.gov,pass,fail,pass,pass,pass,0,11,A4=fnd_c2c031af0765f6d3bce7246d A5=fnd_7bfeab76d8ea8e2967458038 A10=fnd_f6e98987eb10ea1bbf5f6471 A11-declared=fnd_994df1392e13b0c817fa076c A12=fnd_24a83d337d1b854c537196f9
NIST,C,home:www.nist.gov,https://www.nist.gov,host:www.nist.gov,pass,fail,pass,pass,pass,0,11,A4=fnd_3fc1363e53459a7ec33968c7 A5=fnd_13d6f20ccee0d6725bae4454 A10=fnd_ac49d12a179272956ca1806b A11-declared=fnd_76af1da5503ec70ce0d69f04 A12=fnd_0e45c29cce188781d546ee31
data.gov,C,home:www.data.gov,https://www.data.gov,host:www.data.gov,pass,fail,pass,pass,pass,0,12,A4=fnd_3dfb98657d034894111db03c A5=fnd_ff9f525626a37bd23f2d7210 A10=fnd_16bcd47679c46353ead05b1a A11-declared=fnd_d995d3b0d863033e7c777a85 A12=fnd_fb4bec0ae68486f5fa244b63
