agency,declared,surface,url,A1,A2,A3,A6,A8,A9,B3,D1,D4,F4,finding_ids
ERS,True,scan-ers-flagship-1-ag-and-food-statistics-charting-the-essentials,https://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,A1=fnd_0358e787ab1b73fcb01df6fc A2=fnd_0c815ab563fea0498e7233bb A3=fnd_d1fec3c8e7542077a2bd35fe A6=fnd_026dec4657a02d11683a8134 A8=fnd_dcd5875204f10108f0f86595 A9=fnd_7940b2a258a836de81fd1c83 B3=fnd_5637cf4bf00d8fba32c14b20 D1=fnd_d2fa73fa386efa6ceb1c8b4e D4=fnd_1485a3ec782e0d8379bc4ee5 F4=fnd_4fb5f0de3cb0bade7dd76b48
ERS,True,scan-ers-flagship-2-agricultural-baseline-database,https://www.ers.usda.gov/data-products/agricultural-baseline-database,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,A1=fnd_f5cb57600d12727b1f4d0fb7 A2=fnd_d659ac9c12f15ab216683d17 A3=fnd_0523b544114d48c95e4e6942 A6=fnd_c33498f5ba45a7075bb8b94e A8=fnd_775c98b3595b29a1f431b619 A9=fnd_973022dc002dc7285417904b B3=fnd_27c31f7f2b9b8212bfa43b5c D1=fnd_3e7f0b7bae5f924a0516b160 D4=fnd_71fa4d64d93580efd71a76e7 F4=fnd_be6504250309c0b059a9ee51
NAHMSAPHIS,True,flagship:www.aphis.usda.gov/aphis/ourfocus/animalhealth/monitoring-and-surveillance/nahms,https://www.aphis.usda.gov/aphis/ourfocus/animalhealth/monitoring-and-surveillance/nahms,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,A1=fnd_a348f394e0fa70014dfa4f90 A2=fnd_c4371511a1032fef82bca278 A3=fnd_188ba0423a4afba0169f0c8e A6=fnd_319614ff4ccf618315d72ced A8=fnd_2c079a2fc566a4524b048609 A9=fnd_2f224db4d5ca0a00995d6897 B3=fnd_94b6ec4cd9e4543d7b8d8d02 D1=fnd_902f6519e55ea5b43d46673d D4=fnd_cadaf21d99d9f3b93d84f8d3 F4=fnd_575998bab8616268418c1916
NASS,True,scan-nass-flagship-1-data-statistics,https://www.nass.usda.gov/Data_and_Statistics/index.php,fail,fail,error,fail,fail,fail,fail,fail,fail,fail,A1=fnd_4a05fdf2afdd3fc4e0bbcf7f A2=fnd_58243ce4383558115983e644 A3=fnd_ed91d575d5bfc93899e89eb1 A6=fnd_40e76383bc3001dc3789a1a7 A8=fnd_798f31aaa9478af23f882089 A9=fnd_f77f6e188f9e39c564aee51d B3=fnd_cc0dca5d8f869dafdefb915e D1=fnd_1c63cc7208acdd8c597ca1fd D4=fnd_3ca6e54368ab63beea456c14 F4=fnd_cad813980e23391d6764c979
NASS,True,scan-nass-flagship-2-livestock-county-estimates,https://www.nass.usda.gov/Data_and_Statistics/County_Data_Files/Livestock_County_Estimates/index.php,fail,fail,error,fail,fail,fail,fail,fail,fail,fail,A1=fnd_ffc592af75197cd76db7dbdb A2=fnd_d4684bab2a83a9d71c5d8892 A3=fnd_3c20437b04cb1bcb8b1182ed A6=fnd_d39d8ead80e068ae2e608ace A8=fnd_3f9b09fd100fb091f7c46af1 A9=fnd_affafa1e77892a1822f786c3 B3=fnd_7823e5c3be396acb8d97d2af D1=fnd_47817215f77e42fcd377fbfe D4=fnd_e83968f93b3d56f8280232e8 F4=fnd_e564e9b764189d78cddd5d3a
NCES,True,flagship:nces.ed.gov/programs/digest/,https://nces.ed.gov/programs/digest/,fail,fail,pass,fail,fail,fail,fail,fail,fail,fail,A1=fnd_c08defe77222fb9eb48ceb98 A2=fnd_4e4f90861f086653abe9825d A3=fnd_0c44bafafcf67736422f870f A6=fnd_ed95b617235b895d1f12cb38 A8=fnd_6f78a57b43c602f6eebc6f58 A9=fnd_7a41f1e51a36fadad91b9ff3 B3=fnd_163ab80e657d0e4c42af4b09 D1=fnd_62f08a470f7ed33d9fde896d D4=fnd_ff80f952d1553b8256dcf9c9 F4=fnd_70fbb0f0c0c34e919a31a302
NCHS,True,scan-nchs-flagship-1-data-briefs,https://www.cdc.gov/nchs/products/databriefs.htm,fail,fail,error,fail,fail,fail,fail,fail,fail,fail,A1=fnd_16f21bf2b024717323fe09d0 A2=fnd_76255423c80dc97a9d1d4096 A3=fnd_0b6cf1d831671af818c85c81 A6=fnd_fc4ae5095679e01d58ea25a0 A8=fnd_ad596e2eafd5b6147b75df45 A9=fnd_ba28e4f5245c5a684a9f680b B3=fnd_6227f01bae832efc1c475433 D1=fnd_1d463071e97db94ffe012f48 D4=fnd_cf00339ffd8d5539cb54387d F4=fnd_de36ebbc724c546fda5c60fa
NCHS,True,scan-nchs-flagship-2-early-releases-of-selected-estimates-from-the-nhis,https://www.cdc.gov/nchs/nhis/early-release/index.html,fail,fail,pass,fail,fail,fail,fail,fail,fail,fail,A1=fnd_b66c3d134e8b4b6af4c6ac29 A2=fnd_ce70a1fc725de9b4df9c50a2 A3=fnd_27c388f3efc724641e110bb3 A6=fnd_741f12d3ced022a539b8282e A8=fnd_ea8c33276184b6e8d77c3f13 A9=fnd_9b2023a68b841784738fca01 B3=fnd_c19707bbf04827fb0d77bb76 D1=fnd_db536fee5ce501203130ca1d D4=fnd_420f84fbbbaacc56750bc33c F4=fnd_a3cbe1590f95d67de16c0e4a
NCSES,True,scan-ncses-flagship-1-annual-business-survey-2024-data-year-2023,https://ncses.nsf.gov/pubs/nsf26321,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,A1=fnd_600b01aa375a6f2a8cc6c28c A2=fnd_17e36a768c49fab81cd60ae3 A3=fnd_34818ead9fd9d8fca38cb36e A6=fnd_13e1dcf955941e7633e1b897 A8=fnd_8946dcbd2052ace69c87ab3c A9=fnd_c897cdf4be33e2cf2f6a3025 B3=fnd_549fba0715f2a1c9fd2def73 D1=fnd_730be4000aad21ca7c15df36 D4=fnd_dbb923d72945c2eccf585643 F4=fnd_703dd28690a790a5314cf7cc
ORES,True,flagship:www.ssa.gov/policy/docs/statcomps/supplement/,https://www.ssa.gov/policy/docs/statcomps/supplement/,error,error,error,error,error,error,error,error,error,error,A1=fnd_6256a1742ec2b97c1cc8d798 A2=fnd_389d73a800c1103a61638ed6 A3=fnd_740ffaa9fcd4e2cf0353271a A6=fnd_a552550730f7774ef1b19612 A8=fnd_2d9652d6391ca2ca060d392d A9=fnd_f38366f818ccd50334635a24 B3=fnd_9bdf3bd56f8219f44b4fd8d1 D1=fnd_7db7186bf4a8e8686d394e0d D4=fnd_75dd3d7394c68aa8a33c4b4c F4=fnd_975ef8cf763b0139640b0fe9
SAMHSACBHS,True,flagship:www.samhsa.gov/data/data-we-collect/nsduh-national-survey-drug-use-and-health,https://www.samhsa.gov/data/data-we-collect/nsduh-national-survey-drug-use-and-health,fail,fail,fail,fail,fail,fail,fail,fail,error,fail,A1=fnd_3705bfe9a9cf5e35e48e7252 A2=fnd_ca7ed53fa724edf9d396305c A3=fnd_29ea3cc74e61efa98512e205 A6=fnd_1b186e26bd7b83be23dcfa6e A8=fnd_96f95312be1f923c996be73d A9=fnd_63f6dc895f13141e36e84ba7 B3=fnd_33ce55c13ceb53449ac03418 D1=fnd_da127e30b7e5e8c139065063 D4=fnd_5d7d8b1dfe1ba757d71bb633 F4=fnd_a3edf0f56f880049795595d3
SOI,True,scan-soi-flagship-1-individual-tax-statistics,https://www.irs.gov/statistics/soi-tax-stats-individual-tax-statistics,fail,fail,error,fail,fail,fail,fail,fail,fail,fail,A1=fnd_64b17f9cf182d98a1925eeab A2=fnd_e5d476a87a8f562c1dd5f8c4 A3=fnd_1f6b49820a78292b8ea44342 A6=fnd_91314f280223bef3a83bc023 A8=fnd_e192314e40c5b43a2cbb1930 A9=fnd_420ad9a995398278d0084f92 B3=fnd_243f61506d6707e5d6d31187 D1=fnd_7bc59036ecaf9a0024ea3b66 D4=fnd_3396a7ba43936c523c39d9cf F4=fnd_057f4384561388e5a2ebdcf5
SOI,True,scan-soi-flagship-2-business-tax-statistics,https://www.irs.gov/statistics/soi-tax-stats-business-tax-statistics,fail,fail,error,fail,fail,fail,fail,fail,fail,fail,A1=fnd_30a532d75db573a74acf5d11 A2=fnd_825c2eb2267580a69bebdd86 A3=fnd_3351e30795b3719c76672843 A6=fnd_1bdeb34ddaf27e854fb2e05c A8=fnd_e8a850c887b8018568bd7224 A9=fnd_ca6b8639f5fcc86f06ddfd18 B3=fnd_15b2f584517b0d57c39cec16 D1=fnd_df6829a9d47297c18d011b0c D4=fnd_a448109b2c29d6f00be5df67 F4=fnd_8a1616c350060d3da78d66a4
